Codigo,Nombre,Seccion,Profesor,Dia,HoraInicio,HoraFin,Sala,Créditos
FGD9005,CAPOEIRA,,PIRANGI ORMANDO,Martes,17:25,18:45,,5.0
FGD9005,CAPOEIRA,,PIRANGI ORMANDO,Jueves,17:25,18:45,,5.0
FGD9007,KARATE,,SOFFIA MIGUEL ANGEL,Martes,14:30,15:50,,5.0
FGD9007,KARATE,,SOFFIA MIGUEL ANGEL,Jueves,14:30,15:50,,5.0
FGD9009,TAE KWON DO,,REYES ERNESTO CRISTIAN,Lunes,14:30,15:50,,5.0
FGD9009,TAE KWON DO,,REYES ERNESTO CRISTIAN,Miércoles,14:30,15:50,,5.0
FGD9009,TAE KWON DO,,REYES ERNESTO CRISTIAN,Lunes,16:00,17:20,,5.0
FGD9009,TAE KWON DO,,REYES ERNESTO CRISTIAN,Miércoles,16:00,17:20,,5.0
FGD9011,TENIS DE MESA,,MENDOZA FRANCISCO JAVIER,Lunes,10:00,11:20,,5.0
FGD9011,TENIS DE MESA,,MENDOZA FRANCISCO JAVIER,Viernes,10:00,11:20,,5.0
FGD9012,AERÓBICA,,ACEITUNO MONICA SOLEDAD,Martes,17:25,18:45,,5.0
FGD9012,AERÓBICA,,ACEITUNO MONICA SOLEDAD,Viernes,17:25,18:45,,5.0
FGD9012,AERÓBICA,,ACEITUNO MONICA SOLEDAD,SA,10:00,11:20,,5.0
FGD9013,BASQUETBOL MASCULINO,,MOSQUEIRA MARCELO ARMANDO,Lunes,20:15,21:35,,5.0
FGD9013,BASQUETBOL MASCULINO,,MOSQUEIRA MARCELO ARMANDO,Miércoles,20:15,21:35,,5.0
FGD9024,BASQUETBOL DAMAS,,MOSQUEIRA MARCELO ARMANDO,Lunes,18:50,20:10,,5.0
FGD9024,BASQUETBOL DAMAS,,MOSQUEIRA MARCELO ARMANDO,Miércoles,18:50,20:10,,5.0
FGD9027,PILATES,,PÉREZ MACARENA,Martes,11:30,12:50,,5.0
FGD9027,PILATES,,PÉREZ MACARENA,Jueves,11:30,12:50,,5.0
FGD9027,PILATES,,PÉREZ MACARENA,Martes,13:00,14:20,,5.0
FGD9027,PILATES,,PÉREZ MACARENA,Jueves,13:00,14:20,,5.0
FGD9027,PILATES,,PÉREZ MACARENA,Martes,14:30,15:50,,5.0
FGD9027,PILATES,,PÉREZ MACARENA,Jueves,14:30,15:50,,5.0
FGD9028,ACONDICIONAMIENTO FÍSICO I,,GONZALEZ CARLOS EDUARDO,Martes,08:30,09:50,,5.0
FGD9028,ACONDICIONAMIENTO FÍSICO I,,GONZALEZ CARLOS EDUARDO,Viernes,08:30,09:50,,5.0
FGD9028,ACONDICIONAMIENTO FÍSICO I,,SOTO MAX BRUNO,Lunes,10:00,11:20,,5.0
FGD9028,ACONDICIONAMIENTO FÍSICO I,,SOTO MAX BRUNO,Miércoles,10:00,11:20,,5.0
FGD9028,ACONDICIONAMIENTO FÍSICO I,,HERRERA FELIPE MARTINIANO,Martes,08:30,09:50,,5.0
FGD9028,ACONDICIONAMIENTO FÍSICO I,,HERRERA FELIPE MARTINIANO,Viernes,08:30,09:50,,5.0
FGD9029,AJEDRÉZ,,CUEVAS WALTER JOEL,Lunes,10:00,11:20,,5.0
FGD9029,AJEDRÉZ,,CUEVAS WALTER JOEL,Miércoles,10:00,11:20,,5.0
FGD9031,CARDIOBOX,,MOURGUES CLAUDIA ANDREA,Martes,16:00,17:20,,5.0
FGD9031,CARDIOBOX,,MOURGUES CLAUDIA ANDREA,Jueves,16:00,17:20,,5.0
FGD9033,YOGA,,CARO PAULA ALEJANDRA,Lunes,11:30,12:50,,5.0
FGD9033,YOGA,,CARO PAULA ALEJANDRA,Miércoles,11:30,12:50,,5.0
FGD9033,YOGA,,CARO PAULA ALEJANDRA,Lunes,13:00,14:20,,5.0
FGD9033,YOGA,,CARO PAULA ALEJANDRA,Miércoles,13:00,14:20,,5.0
FGD9033,YOGA,,CARO PAULA ALEJANDRA,Lunes,14:30,15:50,,5.0
FGD9033,YOGA,,CARO PAULA ALEJANDRA,Miércoles,14:30,15:50,,5.0
FGD9035,DANCE,,ARANCIBIA CAROLINA ANDREA,Lunes,16:00,17:20,,5.0
FGD9035,DANCE,,ARANCIBIA CAROLINA ANDREA,Miércoles,16:00,17:20,,5.0
FGD9036,ACTIVIDAD FÍSICA Y TRABAJO EN EQUIPOS I,,GONZALEZ CARLOS EDUARDO,Lunes,08:30,09:50,,5.0
FGD9036,ACTIVIDAD FÍSICA Y TRABAJO EN EQUIPOS I,,GONZALEZ CARLOS EDUARDO,Jueves,08:30,09:50,,5.0
FGD9048,ACONDICIONAMIENTO FÍSICO Y SALUD,,MORAGA HECTOR RAMON,SA,10:00,11:20,,5.0
FGD9048,ACONDICIONAMIENTO FÍSICO Y SALUD,,MORAGA HECTOR RAMON,SA,11:30,12:50,,5.0
FGD9048,ACONDICIONAMIENTO FÍSICO Y SALUD,,CARRASCO MARIO ARTURO,Martes,10:00,11:20,,5.0
FGD9048,ACONDICIONAMIENTO FÍSICO Y SALUD,,CARRASCO MARIO ARTURO,Jueves,10:00,11:20,,5.0
FGD9049,FUTSAL MASCULINO,,HERRERA FELIPE MARTINIANO,Lunes,08:30,09:50,,5.0
FGD9049,FUTSAL MASCULINO,,HERRERA FELIPE MARTINIANO,Miércoles,08:30,09:50,,5.0
FGD9049,FUTSAL MASCULINO,,SOTO MAX BRUNO,Martes,10:00,11:20,,5.0
FGD9049,FUTSAL MASCULINO,,SOTO MAX BRUNO,Jueves,10:00,11:20,,5.0
FGD9049,FUTSAL MASCULINO,,SOTO MAX BRUNO,Martes,11:30,12:50,,5.0
FGD9049,FUTSAL MASCULINO,,SOTO MAX BRUNO,Jueves,11:30,12:50,,5.0
FGD9056,PREPARACIÓN FÍSICA,,PIRANGI ORMANDO,Martes,16:00,17:20,,5.0
FGD9056,PREPARACIÓN FÍSICA,,PIRANGI ORMANDO,Jueves,16:00,17:20,,5.0
FGD9057,FITTBALL Y GIMNASIA CON IMPLEMENTOS,,ACEITUNO MONICA SOLEDAD,SA,11:30,12:50,,5.0
FGD9062,ENTRENAMIENTO EN CIRCUITO (HUECHURABA),,SOTO MAX BRUNO,Lunes,11:30,12:50,,5.0
FGD9062,ENTRENAMIENTO EN CIRCUITO (HUECHURABA),,SOTO MAX BRUNO,Miércoles,11:30,12:50,,5.0
