Codigo,Nombre,Seccion,Profesor,Dia,HoraInicio,HoraFin,Sala,Créditos
CFG2014,PROBLEMÁTICAS CONTEMPORÁNEAS DE LA SEXUA,,LOPEZ ANA PAOLA,Miércoles,16:00,18:45,,5.0
CFG2014,PROBLEMÁTICAS CONTEMPORÁNEAS DE LA SEXUA,,MEDALLA TANIA,Miércoles,16:00,18:45,,5.0
CFG2027,LA CIUDAD CÓMO ESPACIO INCLUSIVO,,FIGUEROA DANTE OMAR,Lunes,16:00,18:45,,5.0
CFG2027,LA CIUDAD CÓMO ESPACIO INCLUSIVO,,GUTIERREZ VOLKER AMAURY,Lunes,16:00,18:45,,5.0
CFG2050,CUENTO NORTEAMERICANO CONTEMPORÁNEO: REL,,PILGRIN SAMUEL ALEJANDRO,Martes,11:30,12:50,,5.0
CFG2050,CUENTO NORTEAMERICANO CONTEMPORÁNEO: REL,,PILGRIN SAMUEL ALEJANDRO,Jueves,11:30,12:50,,5.0
CFG2050,CUENTO NORTEAMERICANO CONTEMPORÁNEO: REL,,CONTRERAS GONZALO,Martes,11:30,12:50,,5.0
CFG2050,CUENTO NORTEAMERICANO CONTEMPORÁNEO: REL,,CONTRERAS GONZALO,Jueves,11:30,12:50,,5.0
CFG2059,POESIA INDIGENA LATINOAMERICANA,,HUENUN JAIME LUIS,Martes,10:00,11:20,,5.0
CFG2059,POESIA INDIGENA LATINOAMERICANA,,HUENUN JAIME LUIS,Miércoles,10:00,11:20,,5.0
CFG2059,POESIA INDIGENA LATINOAMERICANA,,CATALÁN AILIN,Martes,10:00,11:20,,5.0
CFG2059,POESIA INDIGENA LATINOAMERICANA,,CATALÁN AILIN,Miércoles,10:00,11:20,,5.0
CFG2065,NOVELA GRÁFICA: SOBRE LA CRISIS DEL SUJE,,DOMINGUEZ PALOMA DEL PILAR,Jueves,13:00,15:20,,5.0
CFG2066,ORIGEN Y EVOLUCIÓN DE LA VIDA,,GALLARDO MAURICIO ORLANDO,Lunes,18:50,20:10,,5.0
CFG2066,ORIGEN Y EVOLUCIÓN DE LA VIDA,,GALLARDO MAURICIO ORLANDO,Viernes,18:50,20:10,,5.0
CFG2066,ORIGEN Y EVOLUCIÓN DE LA VIDA,,PEREZ DANIELA ANDREA,Lunes,18:50,20:10,,5.0
CFG2066,ORIGEN Y EVOLUCIÓN DE LA VIDA,,PEREZ DANIELA ANDREA,Viernes,18:50,20:10,,5.0
CFG2086,LA GUERRA FRIA ORIGEN Y FORMACION DEL MU,,BUGUEÑO RODRIGO ALFONSO,Lunes,14:30,15:50,,5.0
CFG2086,LA GUERRA FRIA ORIGEN Y FORMACION DEL MU,,BUGUEÑO RODRIGO ALFONSO,Jueves,14:30,15:50,,5.0
CFG2098,REVOLUCIONES DE LA HISTORIA CONTEMPORÁNE,,SCHNEUER MARIA JOSE,Jueves,14:30,17:20,,5.0
CFG2098,REVOLUCIONES DE LA HISTORIA CONTEMPORÁNE,,ÁNGEL LUNA,Jueves,14:30,17:20,,5.0
CFG2135,B-LEARNING EE.UU: SU VISIÓN DE LA LIBERT,,RODRIGUEZ ROSARIO CAROLINA,Miércoles,13:00,15:50,,5.0
CFG2135,B-LEARNING EE.UU: SU VISIÓN DE LA LIBERT,,LARA ROMINA,Miércoles,13:00,15:50,,5.0
CFG2135,B-LEARNING EE.UU: SU VISIÓN DE LA LIBERT,,RODRIGUEZ ROSARIO CAROLINA,Viernes,11:30,14:20,,5.0
CFG2149,LA ERA DE LAS VANGUARDIAS HISTÓRICAS:ART,,FLORES CARLA,Jueves,10:00,12:50,,5.0
CFG2149,LA ERA DE LAS VANGUARDIAS HISTÓRICAS:ART,,SANTIBAÑEZ MARA JIMENA,Jueves,10:00,12:50,,5.0
CFG2150,SOCIEDAD Y MEDIOS DE COMUNICACIÓN,,CORREA MARIA XIMENA,Martes,13:00,14:20,,5.0
CFG2150,SOCIEDAD Y MEDIOS DE COMUNICACIÓN,,CORREA MARIA XIMENA,Jueves,13:00,14:20,,5.0
CFG2150,SOCIEDAD Y MEDIOS DE COMUNICACIÓN,,RAMOS BELÉN,Martes,13:00,14:20,,5.0
CFG2150,SOCIEDAD Y MEDIOS DE COMUNICACIÓN,,RAMOS BELÉN,Jueves,13:00,14:20,,5.0
CFG2158,TÓPICOS DE POLÍTICA LATINOAMERICANA,,JORQUERA CONSTANZA FERNAND,Lunes,10:00,11:20,,5.0
CFG2158,TÓPICOS DE POLÍTICA LATINOAMERICANA,,JORQUERA CONSTANZA FERNAND,Miércoles,10:00,11:20,,5.0
CFG2166,MÚSICA LATINOAMERICANA Y MOVIMIENTOS SOC,,MARTINEZ FELIPE ANDRES,Lunes,17:25,18:45,,5.0
CFG2166,MÚSICA LATINOAMERICANA Y MOVIMIENTOS SOC,,MARTINEZ FELIPE ANDRES,Miércoles,17:25,18:45,,5.0
CFG2177,"B-LEARNING IMÁGEN, FOTOGRAFÍA Y MEMORIA",,SALGADO SAMUEL EDUARDO,Viernes,08:30,11:20,,5.0
CFG2177,"B-LEARNING IMÁGEN, FOTOGRAFÍA Y MEMORIA",,CALDERON GUILLERMO DANIEL,Viernes,08:30,11:20,,5.0
CFG2189,DERECHOS DE LAS MINORÍAS E INTERCULTURAL,,MILLACURA CLAUDIO VICENTE,Martes,17:25,18:45,,5.0
CFG2189,DERECHOS DE LAS MINORÍAS E INTERCULTURAL,,MILLACURA CLAUDIO VICENTE,Jueves,17:25,18:45,,5.0
CFG2200,LAS ESCUELAS DE TEORÍA ECONÓMICA EN EL S,,ABBOTT FELIPE ALBERTO,Lunes,13:00,14:20,,5.0
CFG2200,LAS ESCUELAS DE TEORÍA ECONÓMICA EN EL S,,ABBOTT FELIPE ALBERTO,Miércoles,13:00,14:20,,5.0
CFG2202,"DESIGUALDAD:DEFINICIÓN,MEDICIÓN Y CASOS",,PUENTES GERMAN ADOLFO,Martes,14:30,15:50,,5.0
CFG2202,"DESIGUALDAD:DEFINICIÓN,MEDICIÓN Y CASOS",,PUENTES GERMAN ADOLFO,Jueves,14:30,15:50,,5.0
CFG2203,EDUCACIÓN SUPERIOR EN CHILE: DESAFÍOS Y,,MONTT PEDRO NOLASCO,Lunes,11:30,12:50,,5.0
CFG2203,EDUCACIÓN SUPERIOR EN CHILE: DESAFÍOS Y,,MONTT PEDRO NOLASCO,Jueves,11:30,12:50,,5.0
CFG2208,EL DOCUMENTAL EN AMÉRICA LATINA: UN RELA,,ROBLES GILBERTO ALFREDO,Jueves,13:00,15:50,,5.0
CFG2209,CONSTRUCCIÓN SOCIAL DE LA ENFERMEDAD:CI,,VILLEGAS CRISTÓBAL PATRICIO,Viernes,13:00,15:50,,5.0
CFG2209,CONSTRUCCIÓN SOCIAL DE LA ENFERMEDAD:CI,,BARRERO LINA MARIA,Viernes,13:00,15:50,,5.0
CFG2209,CONSTRUCCIÓN SOCIAL DE LA ENFERMEDAD:CI,,BARRERO LINA MARIA,Lunes,13:00,15:50,,5.0
CFG2222,CIUDADES SUSTENTABLES:DESAFÍOS EN AMCA.,,IBARRA LUCAS,Miércoles,13:00,15:50,,5.0
CFG2222,CIUDADES SUSTENTABLES:DESAFÍOS EN AMCA.,,SCHMIDT FRANCISCO JAVIER,Miércoles,13:00,15:50,,5.0
CFG2222,CIUDADES SUSTENTABLES:DESAFÍOS EN AMCA.,,IBARRA LUCAS,Miércoles,08:30,11:20,,5.0
CFG2222,CIUDADES SUSTENTABLES:DESAFÍOS EN AMCA.,,SCHMIDT FRANCISCO JAVIER,Miércoles,08:30,11:20,,5.0
CFG2224,"POBLACIÓN,DESARROLLO Y POLÍTICAS PÚBL",,AGAR LORENZO RENE,Viernes,11:30,14:20,,5.0
CFG2238,CIUDADANÍA Y GÉNERO EN CHILE:SIGLOS XX Y,,GODOY CARMEN  GLORIA,Jueves,16:00,17:20,,5.0
CFG2238,CIUDADANÍA Y GÉNERO EN CHILE:SIGLOS XX Y,,GODOY CARMEN  GLORIA,Martes,16:00,17:20,,5.0
CFG2240,MICROORGANISMOS: ORÍGENES Y PANDEMIAS AC,,PEREZ DANIELA ANDREA,Lunes,17:25,18:45,,5.0
CFG2240,MICROORGANISMOS: ORÍGENES Y PANDEMIAS AC,,PEREZ DANIELA ANDREA,Viernes,17:25,18:45,,5.0
CFG2240,MICROORGANISMOS: ORÍGENES Y PANDEMIAS AC,,NAVARRO MYRIAM ANDREA,Lunes,17:25,18:45,,5.0
CFG2240,MICROORGANISMOS: ORÍGENES Y PANDEMIAS AC,,NAVARRO MYRIAM ANDREA,Viernes,17:25,18:45,,5.0
